Reference Citation: https://www.fieldtriptoolbox.org/faq/coordsys/,,,,,
system,units,orientation,origin,scaling,notes
ACPC ,mm ,RAS ,anterior commissure ,"native, i.e., not normalized to a template ", 
Allen Institute ,mm ,RAS ,Bregma point ,  , 
Analyze ,mm ,LAS ,  ,native , 
BTi/4D ,m ,ALS ,between the ears ,native , 
CTF MRI ,mm ,ALS ,between the ears ,native ,voxel order can be arbitrary
CTF gradiometer ,cm ,ALS ,between the ears ,native , 
CapTrak ,mm ,RAS ,approximately between the ears ,  , 
Chieti ITAB ,mm ,RAS ,between the ears ,native , 
DICOM ,mm ,LPS ,centre of MRI gradient coil ,"native, see here ", 
EEGLAB ,mm ,ALS ,between the ears ,native , 
FreeSurfer ,mm ,RAS ,center of isotropic 1 mm 256x256x256 volume ,  , 
MNI ,mm ,RAS ,anterior commissure ,scaled to match averaged template , 
NIfTI ,mm ,RAS ,  ,"see here, search for “Orientation information”. ", 
Neuromag/Elekta/Megin ,m ,RAS ,between the ears ,native , 
Paxinos-Franklin ,mm ,RSP ,Bregma point ,  , 
Scanner RAS (scanras) ,mm ,RAS ,scanner origin ,native , 
Talairach-Tournoux ,mm ,RAS ,anterior commissure ,scaled to match atlas , 
Yokogawa ,  ,ALS ,center of device , ,
